platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
SNES,1993.0,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31,5801
2600,1981.0,Mattel Interactive,0.29,0.02,0.0,0.0,0.31,5802
PS2,2002.0,Activision,0.15,0.12,0.0,0.04,0.31,5803
XB,2002.0,Activision,0.1,0.03,0.0,0.0,0.13,5803
PS,1999.0,GT Interactive,0.17,0.12,0.0,0.02,0.31,5804
PSV,2013.0,Nippon Ichi Software,0.08,0.05,0.14,0.04,0.31,5805
PS3,2013.0,Nippon Ichi Software,0.05,0.04,0.12,0.02,0.22,5805
PSP,2010.0,Marvelous Interactive,0.18,0.01,0.1,0.02,0.31,5806
Wii,2009.0,Ubisoft,0.25,0.04,0.0,0.02,0.31,5807
DS,2009.0,Mentor Interactive,0.29,0.0,0.0,0.02,0.31,5808
PS,1999.0,Activision,0.17,0.12,0.0,0.02,0.31,5810
XB,2002.0,Universal Interactive,0.23,0.07,0.0,0.01,0.31,5813
PS,2000.0,Empire Interactive,0.17,0.12,0.0,0.02,0.31,5814
GBA,2001.0,Nintendo,0.0,0.0,0.3,0.01,0.31,5815
PS,2000.0,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31,5816
PS2,2002.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31,5817
SNES,1996.0,ASCII Entertainment,0.0,0.0,0.31,0.0,0.31,5818
SNES,1994.0,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31,5819
PS2,2000.0,Activision,0.15,0.12,0.0,0.04,0.31,5820
3DS,2013.0,Warner Bros. Interactive Entertainment,0.18,0.1,0.0,0.03,0.31,5821
PSV,2013.0,Warner Bros. Interactive Entertainment,0.02,0.09,0.0,0.04,0.16,5821
DS,2013.0,Unknown,0.0,0.03,0.0,0.0,0.03,5821
DS,2009.0,Ubisoft,0.28,0.01,0.0,0.02,0.3,5822
X360,2009.0,Banpresto,0.13,0.08,0.07,0.02,0.3,5823
DS,2006.0,THQ,0.28,0.0,0.0,0.02,0.3,5825
GC,,Unknown,0.22,0.06,0.0,0.01,0.29,5825
XB,2003.0,Microsoft Game Studios,0.23,0.07,0.0,0.01,0.3,5826
GBA,2002.0,TDK Mediactive,0.22,0.08,0.0,0.01,0.3,5827
GB,1995.0,Nintendo,0.0,0.0,0.3,0.0,0.3,5830
SAT,1996.0,Sega,0.0,0.0,0.3,0.0,0.3,5831
PS,1998.0,SquareSoft,0.17,0.12,0.0,0.02,0.3,5832
PSP,2005.0,Sega,0.0,0.0,0.3,0.0,0.3,5833
Wii,2011.0,Konami Digital Entertainment,0.24,0.04,0.0,0.02,0.3,5834
X360,2011.0,Konami Digital Entertainment,0.13,0.0,0.0,0.01,0.14,5834
GBA,2003.0,Universal Interactive,0.22,0.08,0.0,0.01,0.3,5835
PS,2000.0,3DO,0.17,0.12,0.0,0.02,0.3,5836
PS3,2012.0,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,5837
Wii,2007.0,Nintendo,0.22,0.04,0.01,0.03,0.3,5839
PSP,2006.0,Disney Interactive Studios,0.12,0.12,0.0,0.07,0.3,5841
WiiU,2014.0,Nintendo,0.2,0.0,0.08,0.02,0.3,5842
PC,2006.0,Deep Silver,0.0,0.25,0.0,0.05,0.3,5843
PS,1995.0,Sony Computer Entertainment,0.05,0.03,0.21,0.02,0.3,5844
PS2,2005.0,Konami Digital Entertainment,0.15,0.12,0.0,0.04,0.3,5845
GC,2005.0,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07,5845
XB,2005.0,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07,5845
DS,2010.0,Warner Bros. Interactive Entertainment,0.24,0.04,0.0,0.02,0.3,5846
Wii,2010.0,Warner Bros. Interactive Entertainment,0.22,0.06,0.0,0.02,0.3,5846
GBA,2005.0,Disney Interactive Studios,0.22,0.08,0.0,0.01,0.3,5848
PS2,2003.0,Capcom,0.15,0.12,0.0,0.04,0.3,5849
X360,2011.0,Ubisoft,0.18,0.1,0.0,0.03,0.3,5850
X360,2011.0,Activision,0.29,0.0,0.0,0.02,0.3,5851
PS3,2011.0,Activision,0.25,0.0,0.0,0.02,0.27,5851
Wii,2011.0,Activision,0.22,0.0,0.0,0.01,0.24,5851
DS,2009.0,Sega,0.0,0.0,0.3,0.0,0.3,5852
Wii,2009.0,Sega,0.0,0.0,0.05,0.0,0.05,5852
PSP,2009.0,Sega,0.0,0.0,0.03,0.0,0.03,5852
PS2,2005.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,5855
SAT,1995.0,Sega,0.0,0.0,0.3,0.0,0.3,5856
GBA,2006.0,Nintendo,0.0,0.0,0.3,0.01,0.3,5857
DS,2007.0,Banpresto,0.0,0.0,0.3,0.0,0.3,5858
PS,1997.0,Sony Computer Entertainment,0.17,0.11,0.0,0.02,0.3,5859
PSP,2010.0,Sony Computer Entertainment,0.05,0.16,0.0,0.08,0.3,5860
PS2,2006.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,5861
PS,,Unknown,0.17,0.11,0.0,0.02,0.3,5863
NES,1990.0,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,5864
DS,2011.0,Activision,0.27,0.02,0.0,0.02,0.3,5865
DS,2008.0,THQ,0.24,0.03,0.0,0.02,0.3,5866
DS,2007.0,Warner Bros. Interactive Entertainment,0.28,0.0,0.0,0.02,0.3,5867
PS2,2007.0,Banpresto,0.0,0.0,0.3,0.0,0.3,5868
PS3,2013.0,Square Enix,0.1,0.0,0.19,0.02,0.3,5869
SAT,1994.0,Sega,0.0,0.0,0.3,0.0,0.3,5870
PSV,,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3,5872
3DS,2011.0,Ubisoft,0.14,0.07,0.07,0.02,0.3,5873
DS,2009.0,Disney Interactive Studios,0.28,0.0,0.0,0.02,0.3,5875
Wii,2008.0,Eidos Interactive,0.27,0.01,0.0,0.02,0.3,5877
DS,2008.0,Eidos Interactive,0.19,0.0,0.0,0.01,0.21,5877
PS4,2014.0,Tecmo Koei,0.09,0.11,0.06,0.04,0.3,5878
PS3,2013.0,Tecmo Koei,0.02,0.03,0.11,0.01,0.16,5878
PSV,2013.0,Tecmo Koei,0.04,0.03,0.05,0.02,0.15,5878
PSV,2014.0,Tecmo Koei,0.05,0.05,0.17,0.03,0.3,5879
PS4,2015.0,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,5879
PSP,2014.0,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,5879
PS2,2002.0,Tecmo Koei,0.05,0.04,0.19,0.01,0.3,5881
DS,2008.0,Nintendo,0.0,0.0,0.3,0.0,0.3,5882
SNES,1994.0,Hudson Soft,0.0,0.0,0.3,0.0,0.3,5883
PS4,2015.0,Kalypso Media,0.05,0.16,0.05,0.04,0.3,5884
PC,2014.0,Kalypso Media,0.02,0.08,0.0,0.01,0.12,5884
X360,2014.0,Kalypso Media,0.03,0.04,0.0,0.01,0.07,5884
PS2,2001.0,Midas Interactive Entertainment,0.15,0.11,0.0,0.04,0.3,5885
DS,2008.0,Nintendo,0.2,0.0,0.08,0.01,0.3,5886
N64,1999.0,Take-Two Interactive,0.24,0.06,0.0,0.0,0.3,5887
DS,2006.0,Spike,0.0,0.0,0.3,0.0,0.3,5889
GBA,2003.0,THQ,0.21,0.08,0.0,0.01,0.3,5890
DS,2009.0,Electronic Arts,0.15,0.12,0.0,0.03,0.3,5891
Wii,2009.0,Electronic Arts,0.18,0.03,0.0,0.02,0.23,5891
PS,1997.0,Namco Bandai Games,0.0,0.0,0.28,0.02,0.3,5894
3DS,2011.0,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,5895
PS2,2000.0,Ubisoft,0.15,0.11,0.0,0.04,0.3,5896
GBA,2003.0,Atari,0.21,0.08,0.0,0.01,0.3,5897
SNES,1997.0,Hudson Soft,0.0,0.0,0.3,0.0,0.3,5898
X360,2006.0,Microsoft Game Studios,0.2,0.03,0.05,0.02,0.3,5899
PSP,2011.0,Atlus,0.13,0.03,0.11,0.03,0.3,5900
PS,2000.0,3DO,0.17,0.11,0.0,0.02,0.3,5901
PS2,2003.0,THQ,0.15,0.11,0.0,0.04,0.3,5904
PS2,2000.0,Ubisoft,0.1,0.07,0.1,0.03,0.3,5905
SAT,1996.0,Sega,0.0,0.0,0.3,0.0,0.3,5906
DS,2007.0,Ubisoft,0.23,0.04,0.0,0.02,0.3,5907
X360,2011.0,Ubisoft,0.15,0.12,0.0,0.03,0.3,5908
SNES,1995.0,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,5910
PS,1996.0,Virgin Interactive,0.07,0.05,0.15,0.02,0.3,5911
X360,2008.0,Konami Digital Entertainment,0.28,0.0,0.0,0.02,0.3,5914
Wii,2012.0,Nordic Games,0.08,0.19,0.0,0.03,0.3,5916
PS2,2004.0,Acclaim Entertainment,0.15,0.11,0.0,0.04,0.3,5917
XB,2004.0,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.12,5917
PSP,2006.0,Capcom,0.27,0.0,0.0,0.03,0.3,5918
Wii,2009.0,Zushi Games,0.26,0.01,0.0,0.02,0.3,5919
DS,2011.0,Activision,0.21,0.07,0.0,0.02,0.3,5920
PC,2003.0,Electronic Arts,0.01,0.24,0.0,0.05,0.3,5921
SNES,1995.0,Hudson Soft,0.0,0.0,0.3,0.0,0.3,5922
PSV,2014.0,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,5923
PS4,2015.0,Namco Bandai Games,0.0,0.1,0.0,0.02,0.12,5923
PS4,2016.0,Square Enix,0.06,0.07,0.14,0.02,0.3,5924
PS3,2016.0,Square Enix,0.0,0.0,0.04,0.0,0.04,5924
PS3,2011.0,Ubisoft,0.12,0.13,0.0,0.05,0.3,5925
X360,2011.0,Ubisoft,0.14,0.11,0.0,0.03,0.27,5925
PC,2011.0,Ubisoft,0.05,0.05,0.0,0.01,0.11,5925
DS,2009.0,Majesco Entertainment,0.28,0.0,0.0,0.02,0.3,5927
Wii,2009.0,Majesco Entertainment,0.09,0.0,0.0,0.01,0.1,5927
Wii,2010.0,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,5928
PSV,2016.0,Square Enix,0.0,0.0,0.3,0.0,0.3,5931
PS4,2016.0,Square Enix,0.0,0.0,0.22,0.0,0.22,5931
PS3,2016.0,Square Enix,0.0,0.0,0.12,0.0,0.12,5931
DS,2007.0,Disney Interactive Studios,0.17,0.09,0.0,0.03,0.3,5932
GBA,2003.0,Konami Digital Entertainment,0.0,0.0,0.29,0.01,0.3,5933
DS,2006.0,Capcom,0.18,0.0,0.1,0.02,0.3,5934
DS,2005.0,Marvelous Interactive,0.3,0.0,0.0,0.0,0.3,5935
DS,2007.0,Konami Digital Entertainment,0.0,0.0,0.3,0.0,0.3,5936
GBA,2004.0,THQ,0.21,0.08,0.0,0.01,0.3,5938
GBA,2002.0,THQ,0.21,0.08,0.0,0.01,0.3,5939
PS,1997.0,Electronic Arts,0.16,0.11,0.0,0.02,0.3,5941
X360,2009.0,Activision,0.16,0.1,0.0,0.03,0.3,5942
Wii,2009.0,Activision,0.14,0.12,0.0,0.03,0.29,5942
PS3,2009.0,Activision,0.14,0.09,0.0,0.04,0.28,5942
PS2,2009.0,Activision,0.05,0.04,0.0,0.01,0.1,5942
GB,1999.0,Jorudan,0.0,0.0,0.3,0.0,0.3,5944
PS3,2012.0,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,5946
X360,2012.0,Tecmo Koei,0.03,0.01,0.02,0.0,0.06,5946
WiiU,2013.0,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,5946
PS2,2004.0,Midway Games,0.14,0.11,0.0,0.04,0.3,5947
XB,2004.0,Midway Games,0.07,0.02,0.0,0.0,0.09,5947
DS,2005.0,Nintendo,0.15,0.01,0.12,0.01,0.3,5949
DS,2007.0,Avanquest,0.02,0.26,0.0,0.01,0.3,5951
XB,2003.0,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,5954
2600,1986.0,Atari,0.28,0.02,0.0,0.0,0.29,5958
DS,2020.0,Ubisoft,0.27,0.0,0.0,0.02,0.29,5959
PS2,2002.0,Ubisoft,0.14,0.11,0.0,0.04,0.29,5960
DC,2000.0,Ubisoft,0.0,0.0,0.2,0.0,0.2,5960
PSP,2006.0,Sony Computer Entertainment,0.26,0.01,0.0,0.03,0.29,5961
PS2,2007.0,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,5961
PS3,2010.0,Square Enix,0.09,0.07,0.11,0.03,0.29,5962
X360,2010.0,Square Enix,0.1,0.07,0.02,0.02,0.2,5962
PC,2010.0,Square Enix,0.05,0.0,0.0,0.0,0.05,5962
DS,2006.0,Warner Bros. Interactive Entertainment,0.21,0.06,0.0,0.02,0.29,5963
Wii,2009.0,Take-Two Interactive,0.26,0.01,0.0,0.02,0.29,5966
X360,2009.0,Take-Two Interactive,0.19,0.01,0.0,0.02,0.21,5966
PS2,2009.0,Take-Two Interactive,0.1,0.08,0.0,0.03,0.2,5966
PS3,2009.0,Take-Two Interactive,0.12,0.0,0.0,0.01,0.13,5966
PSP,2009.0,Take-Two Interactive,0.09,0.0,0.0,0.01,0.1,5966
DS,2009.0,Take-Two Interactive,0.05,0.0,0.0,0.0,0.05,5966
DS,2010.0,GSP,0.04,0.21,0.0,0.04,0.29,5968
X360,2009.0,Atari,0.16,0.1,0.0,0.03,0.29,5969
PS3,2009.0,Vivendi Games,0.12,0.1,0.0,0.04,0.25,5969
PC,2009.0,Vivendi Games,0.0,0.01,0.0,0.0,0.01,5969
GBA,2002.0,Konami Digital Entertainment,0.0,0.0,0.29,0.01,0.29,5971
PS3,2007.0,Electronic Arts,0.25,0.02,0.0,0.03,0.29,5972
PSV,2014.0,Sony Computer Entertainment,0.01,0.12,0.12,0.04,0.29,5973
SAT,1995.0,Sega,0.0,0.0,0.29,0.0,0.29,5974
Wii,2007.0,Konami Digital Entertainment,0.23,0.0,0.04,0.02,0.29,5976
PS2,2007.0,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,5976
XB,2002.0,TDK Mediactive,0.22,0.06,0.0,0.01,0.29,5977
GC,2002.0,TDK Mediactive,0.06,0.02,0.0,0.0,0.08,5977
PS,1999.0,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.29,5980
PS2,2002.0,505 Games,0.02,0.02,0.25,0.01,0.29,5981
PSP,2010.0,Sega,0.0,0.0,0.29,0.0,0.29,5983
Wii,2007.0,Ubisoft,0.24,0.03,0.0,0.02,0.29,5984
PSP,2007.0,Ubisoft,0.08,0.02,0.0,0.02,0.12,5984
Wii,2009.0,Namco Bandai Games,0.0,0.1,0.17,0.02,0.29,5985
PS3,2010.0,Namco Bandai Games,0.09,0.14,0.01,0.05,0.29,5987
X360,2010.0,Namco Bandai Games,0.14,0.03,0.0,0.01,0.19,5987
PS2,2000.0,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29,5989
N64,1999.0,Virgin Interactive,0.17,0.04,0.0,0.0,0.21,5989
Wii,2007.0,Nintendo,0.02,0.22,0.05,0.0,0.29,5990
PSP,2008.0,Empire Interactive,0.13,0.11,0.0,0.06,0.29,5991
PS,1998.0,Virgin Interactive,0.03,0.02,0.22,0.02,0.29,5992
PS,2000.0,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,5993
PS3,2013.0,Take-Two Interactive,0.08,0.16,0.0,0.05,0.29,5994
X360,2013.0,Take-Two Interactive,0.1,0.12,0.0,0.02,0.24,5994
PC,2013.0,Take-Two Interactive,0.0,0.05,0.0,0.01,0.05,5994
SAT,1996.0,Sega,0.0,0.0,0.29,0.0,0.29,5997
DS,2009.0,Atlus,0.14,0.0,0.14,0.01,0.29,5998
PS,2000.0,Hasbro Interactive,0.16,0.11,0.0,0.02,0.29,5999
PS,1997.0,Namco Bandai Games,0.0,0.0,0.27,0.02,0.29,6000
PS2,2006.0,Tecmo Koei,0.14,0.11,0.0,0.04,0.29,6003
SNES,1994.0,Enix Corporation,0.0,0.0,0.29,0.0,0.29,6004
GC,2002.0,Namco Bandai Games,0.0,0.0,0.28,0.01,0.29,6007
PS3,2012.0,Sony Computer Entertainment,0.18,0.05,0.03,0.03,0.29,6008
2600,1983.0,Activision,0.27,0.02,0.0,0.0,0.29,6009
DS,2009.0,Ubisoft,0.27,0.0,0.0,0.02,0.29,6010
Wii,2011.0,Ubisoft,0.22,0.04,0.0,0.02,0.29,6012
Wii,2010.0,Disney Interactive Studios,0.18,0.08,0.0,0.02,0.29,6013
PSP,2010.0,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,6014
GBA,2003.0,Jorudan,0.0,0.0,0.28,0.01,0.29,6015
PS3,2011.0,Sony Computer Entertainment,0.13,0.12,0.0,0.05,0.29,6016
PS2,2004.0,Capcom,0.14,0.11,0.0,0.04,0.29,6018
Wii,2009.0,Ubisoft,0.13,0.13,0.0,0.03,0.29,6019
X360,2009.0,Ubisoft,0.1,0.08,0.0,0.02,0.21,6019
PS2,2005.0,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29,6020
XB,2005.0,Take-Two Interactive,0.07,0.02,0.0,0.0,0.09,6020
PSV,2012.0,Nihon Falcom Corporation,0.15,0.01,0.1,0.04,0.29,6021
2600,1981.0,Unknown,0.27,0.02,0.0,0.0,0.29,6023
PS2,2001.0,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,6024
N64,1998.0,Acclaim Entertainment,0.23,0.06,0.0,0.0,0.29,6025
N64,1998.0,Kemco,0.23,0.06,0.0,0.0,0.29,6026
N64,1999.0,Titus,0.23,0.06,0.0,0.0,0.29,6027
N64,1999.0,Nintendo,0.22,0.05,0.02,0.0,0.29,6029
N64,1999.0,Nintendo,0.23,0.06,0.0,0.0,0.29,6030
N64,1999.0,Electronic Arts,0.23,0.06,0.0,0.0,0.29,6031
N64,1997.0,Midway Games,0.23,0.06,0.0,0.0,0.29,6032
PS,1996.0,GT Interactive,0.01,0.01,0.0,0.0,0.03,6032
PS3,2007.0,Tecmo Koei,0.1,0.03,0.14,0.02,0.29,6033
X360,2007.0,Tecmo Koei,0.08,0.01,0.0,0.01,0.1,6033
PC,2011.0,Wargaming.net,0.0,0.23,0.0,0.06,0.29,6034
X360,,Unknown Publisher,0.0,0.03,0.0,0.0,0.04,6034
DS,2010.0,Avanquest,0.0,0.25,0.0,0.04,0.29,6035
GBA,2003.0,Atari,0.21,0.08,0.0,0.01,0.29,6036
X360,2008.0,Codemasters,0.23,0.04,0.0,0.02,0.29,6038
PS3,2008.0,Codemasters,0.21,0.01,0.0,0.02,0.25,6038
PS2,2005.0,Codemasters,0.14,0.11,0.0,0.04,0.29,6039
XB,2005.0,Codemasters,0.1,0.03,0.0,0.0,0.13,6039
PC,2005.0,Codemasters,0.0,0.02,0.0,0.0,0.02,6039
Wii,2009.0,Capcom,0.15,0.07,0.05,0.02,0.29,6040
X360,2012.0,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29,6043
3DS,2014.0,Sega,0.17,0.09,0.0,0.03,0.29,6045
Wii,2012.0,Nintendo,0.0,0.0,0.29,0.0,0.29,6046
PS,1996.0,Takara,0.0,0.0,0.27,0.02,0.29,6048
XB,2003.0,Ubisoft,0.22,0.06,0.0,0.01,0.29,6049
PS,1996.0,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,6053
SNES,1991.0,Angel Studios,0.0,0.0,0.29,0.0,0.29,6055
Wii,2008.0,Destineer,0.27,0.0,0.0,0.02,0.29,6057
PS2,2002.0,TDK Mediactive,0.14,0.11,0.0,0.04,0.29,6059
XB,2002.0,TDK Mediactive,0.1,0.03,0.0,0.0,0.13,6059
GC,2003.0,TDK Mediactive,0.04,0.01,0.0,0.0,0.05,6059
DC,2002.0,Sega,0.0,0.0,0.29,0.0,0.29,6060
PS2,2005.0,Sega,0.07,0.05,0.15,0.02,0.29,6061
Wii,2010.0,Ackkstudios,0.06,0.04,0.0,0.01,0.11,6061
PS2,2002.0,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,6062
DS,2004.0,Electronic Arts,0.27,0.0,0.0,0.02,0.29,6063
DS,2004.0,Sega,0.17,0.0,0.1,0.02,0.29,6065
DS,2008.0,Capcom,0.26,0.0,0.0,0.02,0.29,6067
Wii,2008.0,Capcom,0.19,0.02,0.0,0.02,0.23,6067
PS,2000.0,Midas Interactive Entertainment,0.16,0.11,0.0,0.02,0.29,6070
3DS,2013.0,Namco Bandai Games,0.0,0.0,0.29,0.0,0.29,6072
PS2,2007.0,Ubisoft,0.14,0.11,0.0,0.04,0.29,6074
DS,2007.0,Ubisoft,0.26,0.0,0.0,0.02,0.28,6074
Wii,2007.0,Ubisoft,0.15,0.0,0.0,0.01,0.17,6074
PSP,2007.0,Ubisoft,0.02,0.06,0.0,0.03,0.11,6074
X360,2007.0,Ubisoft,0.09,0.0,0.0,0.01,0.1,6074
PS3,2007.0,Ubisoft,0.03,0.0,0.0,0.0,0.04,6074
GC,2007.0,Ubisoft,0.01,0.0,0.0,0.0,0.01,6074
PS3,2013.0,Arc System Works,0.13,0.0,0.14,0.02,0.29,6075
PSV,2014.0,Arc System Works,0.06,0.0,0.03,0.02,0.11,6075
PS,2000.0,Infogrames,0.16,0.11,0.0,0.02,0.29,6076
PS2,2004.0,Square Enix,0.0,0.0,0.29,0.0,0.29,6077
PS,1996.0,Sony Computer Entertainment,0.03,0.02,0.21,0.02,0.29,6078
PS2,2003.0,Ubisoft,0.14,0.11,0.0,0.04,0.29,6079
XB,2003.0,Ubisoft,0.06,0.02,0.0,0.0,0.07,6079
GC,2003.0,Ubisoft,0.05,0.01,0.0,0.0,0.07,6079
PC,2003.0,Ubisoft,0.0,0.03,0.0,0.01,0.03,6079
DS,2008.0,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,6080
PS2,2004.0,Midway Games,0.14,0.11,0.0,0.04,0.29,6081
XB,2004.0,Midway Games,0.13,0.04,0.0,0.01,0.17,6081
Wii,2010.0,Storm City Games,0.27,0.0,0.0,0.02,0.29,6082
PS,1999.0,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29,6083
DS,2011.0,Activision,0.27,0.0,0.0,0.02,0.29,6085
PS2,2006.0,Square Enix,0.0,0.0,0.29,0.0,0.29,6086
PS,1999.0,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,6087
X360,2007.0,Electronic Arts,0.26,0.0,0.0,0.02,0.29,6088
PS2,2007.0,Electronic Arts,0.12,0.09,0.0,0.03,0.24,6088
PS3,2007.0,Electronic Arts,0.15,0.05,0.0,0.03,0.23,6088
PC,2016.0,Activision,0.14,0.12,0.0,0.02,0.29,6089
SNES,1992.0,Tecmo Koei,0.0,0.0,0.29,0.0,0.29,6090
DS,2008.0,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29,6091
PS3,2011.0,Ignition Entertainment,0.11,0.07,0.08,0.03,0.29,6092
X360,2011.0,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16,6092
PS3,2012.0,Activision,0.12,0.12,0.0,0.05,0.29,6093
X360,2012.0,Activision,0.14,0.09,0.0,0.02,0.25,6093
PSP,2008.0,Tecmo Koei,0.06,0.0,0.22,0.01,0.29,6095
PS2,2008.0,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,6095
X360,2008.0,Tecmo Koei,0.04,0.0,0.01,0.0,0.06,6095
DS,2007.0,THQ,0.26,0.0,0.0,0.02,0.29,6096
XB,2003.0,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.29,6097
PS,1996.0,Electronic Arts,0.16,0.11,0.0,0.02,0.29,6098
DS,2008.0,THQ,0.26,0.0,0.0,0.02,0.29,6099
DS,2011.0,Nintendo,0.0,0.0,0.29,0.0,0.29,6100
DS,2010.0,Activision,0.26,0.0,0.0,0.02,0.29,6101
GBA,2001.0,Interplay,0.2,0.08,0.0,0.01,0.29,6102
PS2,2003.0,Ubisoft,0.14,0.11,0.0,0.04,0.28,6109
GC,2003.0,Ubisoft,0.04,0.01,0.0,0.0,0.05,6109
PS2,2008.0,Sony Computer Entertainment,0.14,0.11,0.0,0.04,0.28,6110
X360,2009.0,Rising Star Games,0.15,0.06,0.05,0.02,0.28,6111
PS,1997.0,Playmates,0.16,0.11,0.0,0.02,0.28,6112
GBA,2005.0,Atari,0.2,0.08,0.0,0.01,0.28,6115
DS,2007.0,Game Factory,0.26,0.0,0.0,0.02,0.28,6116
SNES,1995.0,Human Entertainment,0.0,0.0,0.28,0.0,0.28,6117
DS,2007.0,THQ,0.26,0.01,0.0,0.02,0.28,6118
SNES,1994.0,Konami Digital Entertainment,0.0,0.0,0.28,0.0,0.28,6119
PS,2000.0,Ubisoft,0.16,0.11,0.0,0.02,0.28,6121
N64,2000.0,Ubisoft,0.16,0.04,0.0,0.0,0.2,6121
PS2,2001.0,Midway Games,0.09,0.07,0.1,0.02,0.28,6124
Wii,2010.0,Take-Two Interactive,0.24,0.02,0.0,0.02,0.28,6125
PS4,2016.0,Namco Bandai Games,0.1,0.08,0.07,0.04,0.28,6126
PSV,2016.0,Namco Bandai Games,0.0,0.03,0.07,0.01,0.11,6126
XOne,2016.0,Namco Bandai Games,0.03,0.01,0.0,0.0,0.04,6126
PS2,,Midway Games,0.14,0.11,0.0,0.04,0.28,6127
GBA,2006.0,Konami Digital Entertainment,0.2,0.08,0.0,0.01,0.28,6129
GBA,2001.0,Activision,0.2,0.08,0.0,0.01,0.28,6130
PS2,2003.0,Namco Bandai Games,0.14,0.11,0.0,0.04,0.28,6131
XB,2003.0,Namco Bandai Games,0.06,0.02,0.0,0.0,0.09,6131
GC,2003.0,Namco Bandai Games,0.06,0.02,0.0,0.0,0.08,6131
PS2,2003.0,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,6133
WS,1999.0,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,6135
GBA,2005.0,Activision,0.2,0.08,0.0,0.01,0.28,6136
PS3,2008.0,Sony Computer Entertainment,0.0,0.17,0.09,0.02,0.28,6137
PS4,2016.0,Konami Digital Entertainment,0.01,0.16,0.09,0.03,0.28,6138
PS3,2016.0,Konami Digital Entertainment,0.0,0.01,0.04,0.0,0.06,6138
XOne,2016.0,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.03,6138
X360,2006.0,Sega,0.24,0.0,0.01,0.02,0.28,6139
SAT,1995.0,SNK Playmore,0.0,0.0,0.28,0.0,0.28,6141
NG,1995.0,SNK,0.0,0.0,0.2,0.0,0.2,6141
PS,1996.0,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17,6141
DS,2009.0,Ubisoft,0.15,0.11,0.0,0.03,0.28,6143
GBA,2004.0,Majesco Entertainment,0.2,0.08,0.0,0.01,0.28,6144
GBA,2006.0,Nintendo,0.0,0.0,0.28,0.01,0.28,6146
2600,1982.0,Tigervision,0.26,0.02,0.0,0.0,0.28,6147
DS,2010.0,Konami Digital Entertainment,0.16,0.1,0.0,0.03,0.28,6150
PS,2002.0,Hamster Corporation,0.16,0.11,0.0,0.02,0.28,6152
PS3,2010.0,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28,6153
X360,2010.0,Namco Bandai Games,0.11,0.08,0.0,0.02,0.21,6153
XB,,Midway Games,0.22,0.05,0.0,0.01,0.28,6155
XB,2003.0,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,6156
GB,1991.0,Nintendo,0.0,0.0,0.28,0.0,0.28,6157
DS,2007.0,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28,6158
GBA,2002.0,Atari,0.2,0.07,0.0,0.01,0.28,6160
PSP,2011.0,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,6162
